SpeedItem [upload=false, thread=0, time=3930826752, bytes=3008536]
SpeedItem [upload=false, thread=0, time=3967177008, bytes=3031704]
SpeedItem [upload=false, thread=0, time=3979830505, bytes=3049080]
SpeedItem [upload=false, thread=0, time=4016548088, bytes=3072248]
SpeedItem [upload=false, thread=0, time=4029841727, bytes=3089624]
SpeedItem [upload=false, thread=0, time=4065651673, bytes=3112792]
SpeedItem [upload=false, thread=0, time=4078957875, bytes=3130168]
SpeedItem [upload=false, thread=0, time=4114710963, bytes=3153336]
SpeedItem [upload=false, thread=0, time=4128285786, bytes=3170712]
SpeedItem [upload=false, thread=0, time=4163701209, bytes=3193880]
SpeedItem [upload=false, thread=0, time=4177317992, bytes=3208608]
SpeedItem [upload=false, thread=0, time=4213311158, bytes=3233224]
SpeedItem [upload=false, thread=0, time=4226348579, bytes=3251800]
SpeedItem [upload=false, thread=0, time=4261772350, bytes=3277864]
SpeedItem [upload=false, thread=0, time=4275433063, bytes=3295240]
SpeedItem [upload=false, thread=0, time=4311014592, bytes=3321304]
SpeedItem [upload=false, thread=0, time=4324691443, bytes=3338680]
SpeedItem [upload=false, thread=0, time=4359983504, bytes=3363544]
SpeedItem [upload=false, thread=0, time=4374152286, bytes=3382120]
SpeedItem [upload=false, thread=0, time=4409024574, bytes=3405288]
SpeedItem [upload=false, thread=0, time=4423396502, bytes=3425560]
SpeedItem [upload=false, thread=0, time=4457976478, bytes=3448728]
SpeedItem [upload=false, thread=0, time=4472236313, bytes=3466352]
SpeedItem [upload=false, thread=0, time=4506965975, bytes=3490968]
SpeedItem [upload=false, thread=0, time=4521427854, bytes=3512440]
SpeedItem [upload=false, thread=0, time=4555849056, bytes=3532960]
SpeedItem [upload=false, thread=0, time=4570693295, bytes=3555880]
SpeedItem [upload=false, thread=0, time=4605234972, bytes=3576400]
SpeedItem [upload=false, thread=0, time=4619697592, bytes=3599320]
SpeedItem [upload=false, thread=0, time=4654535607, bytes=3622488]
SpeedItem [upload=false, thread=0, time=4668727842, bytes=3641560]
SpeedItem [upload=false, thread=0, time=4703465557, bytes=3664728]
SpeedItem [upload=false, thread=0, time=4717620450, bytes=3685000]
SpeedItem [upload=false, thread=0, time=4752420030, bytes=3706720]
SpeedItem [upload=false, thread=0, time=4766715794, bytes=3726992]
SpeedItem [upload=false, thread=0, time=4801515051, bytes=3752808]
SpeedItem [upload=false, thread=0, time=4815626365, bytes=3770432]
SpeedItem [upload=false, thread=0, time=4850596006, bytes=3796248]
SpeedItem [upload=false, thread=0, time=4864521604, bytes=3813872]
SpeedItem [upload=false, thread=0, time=4899609093, bytes=3839936]
SpeedItem [upload=false, thread=0, time=4913444242, bytes=3861656]
SpeedItem [upload=false, thread=0, time=4948574698, bytes=3884824]
SpeedItem [upload=false, thread=0, time=4962451169, bytes=3909192]
SpeedItem [upload=false, thread=0, time=4997646198, bytes=3931160]
SpeedItem [upload=false, thread=0, time=5011408949, bytes=3955528]
SpeedItem [upload=false, thread=0, time=5046548780, bytes=3978696]
SpeedItem [upload=false, thread=0, time=5060460371, bytes=4001864]
SpeedItem [upload=false, thread=0, time=5095677492, bytes=4022384]
SpeedItem [upload=false, thread=0, time=5109645422, bytes=4048200]
SpeedItem [upload=false, thread=0, time=5144717242, bytes=4071368]
SpeedItem [upload=false, thread=0, time=5158835560, bytes=4093336]
SpeedItem [upload=false, thread=0, time=5193659209, bytes=4112160]
SpeedItem [upload=false, thread=0, time=5207750050, bytes=4139672]
SpeedItem [upload=false, thread=0, time=5243082990, bytes=4161144]
SpeedItem [upload=false, thread=0, time=5256804157, bytes=4183112]
SpeedItem [upload=false, thread=0, time=5292030159, bytes=4203384]
SpeedItem [upload=false, thread=0, time=5305921042, bytes=4229448]
